PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, ANT14
4-character ID, BRIP
Station name, Brimstone_Peak  
Begin Date, 2007-12-14
End Date, 2018-02-06
Release Date, 2021-02-16
Source file, BRIP.cwu.ant14.pos
Offset from source file, 0.69 mm North, -0.28 mm East, 7.46 mm Vertical
Reference position, -75.7956695856 North Latitude, 158.4691447392 East Longitude, 2110.89066 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-12-14,0.00, 0.00, 0.00, 2.33, 1.9, 12.05, fanet,
2007-12-15,-0.46, -0.60, -4.14, 1.98, 1.53, 10.14, fanet,
2007-12-16,-0.16, 0.59, 0.13, 2.16, 1.64, 11.08, fanet,
2007-12-17,1.54, -1.22, -6.32, 2.27, 1.76, 11.11, fanet,
2007-12-18,0.66, 0.45, -4.53, 2.56, 2.07, 13.03, fanet,
2007-12-19,2.51, -0.09, 3.74, 2.2, 1.72, 11.02, fanet,
2007-12-20,1.45, 0.36, 2.65, 2.25, 1.88, 11.3, fanet,
2007-12-21,1.70, -1.27, 4.27, 2.18, 1.69, 10.87, fanet,
2007-12-22,0.94, 0.14, 4.94, 2.17, 1.77, 11.02, fanet,
2007-12-23,3.71, 1.22, 9.91, 2.11, 1.71, 10.74, fanet,
2007-12-24,-0.21, 0.38, 9.88, 1.97, 1.52, 10.23, fanet,
2007-12-25,-0.42, -0.27, 3.58, 2.08, 1.62, 10.88, fanet,
2007-12-26,0.36, -0.04, 0.12, 2.08, 1.6, 10.68, fanet,
2007-12-27,1.82, -0.09, -2.88, 2.1, 1.59, 10.82, fanet,
2007-12-28,3.17, -0.04, -6.04, 4.09, 3, 21.17, fanet,
2007-12-29,2.79, 0.22, -0.55, 2.08, 1.58, 10.87, fanet,
2007-12-30,0.57, -2.07, 0.73, 2.01, 1.57, 10.49, fanet,
2007-12-31,1.72, 0.00, 5.99, 2.08, 1.64, 10.43, fanet,
2008-01-01,0.23, -1.43, -5.11, 2.01, 1.51, 10.65, fanet,
2008-01-02,1.32, 0.20, 3.61, 1.95, 1.52, 10.05, fanet,
2008-01-03,1.18, -0.93, 6.83, 1.94, 1.5, 9.75, fanet,
2008-01-04,1.69, -0.07, 6.77, 1.88, 1.48, 9.57, fanet,
2008-01-05,-0.09, -0.41, -3.25, 2.68, 2.13, 13.27, fanet,
2008-01-06,1.22, 0.41, 1.89, 2.5, 1.93, 11.99, fanet,
2008-01-07,-0.03, -0.14, 0.58, 2.39, 1.91, 11.93, fanet,
2008-01-08,-0.76, -0.86, 10.50, 2.37, 1.89, 11.77, fanet,
2008-01-09,1.66, -1.17, 2.27, 2.1, 1.69, 11.11, fanet,
2008-01-10,0.12, -2.18, -1.75, 2.1, 1.59, 10.8, fanet,
2008-01-11,0.84, -1.13, 6.30, 2, 1.57, 10.01, fanet,
2008-01-12,1.05, -0.46, -1.66, 2.01, 1.61, 9.93, fanet,
2008-01-13,4.19, -0.17, 5.18, 2.1, 1.63, 10.82, fanet,
2008-01-14,5.85, -0.81, 6.55, 2.28, 1.75, 11.56, fanet,
2008-01-15,1.28, 0.13, 7.00, 2.16, 1.69, 10.99, fanet,
2008-01-16,0.28, -0.07, 1.12, 2.24, 1.77, 11.1, fanet,
2008-01-17,0.99, -0.35, -5.45, 2.23, 1.76, 11.47, fanet,
2008-01-18,2.35, -0.35, -2.14, 2.1, 1.64, 10.62, fanet,
2008-01-19,-0.61, -0.21, 0.03, 2.16, 1.81, 11.11, fanet,
2008-01-20,-0.55, 0.41, 5.13, 2.09, 1.62, 10.67, fanet,
2008-01-21,1.47, 0.73, -5.47, 2.03, 1.63, 10.61, fanet,
2008-01-22,0.49, 0.51, 0.54, 2.02, 1.56, 10.34, fanet,
2008-01-23,0.41, 0.07, 2.55, 2.1, 1.6, 10.72, fanet,
2008-01-24,1.09, 0.37, 4.76, 2, 1.52, 10.12, fanet,
2008-01-25,1.49, 0.27, 6.50, 2.15, 1.63, 10.86, fanet,
2008-01-26,0.87, 1.14, 4.65, 1.97, 1.53, 10.01, fanet,
2008-01-27,0.53, 2.19, 1.65, 2.04, 1.62, 10.44, fanet,
2008-01-28,3.15, 2.40, 1.32, 2.14, 1.67, 10.94, fanet,
2008-01-29,-0.49, 1.03, 4.32, 2.08, 1.64, 10.54, fanet,
2008-01-30,0.15, 0.52, 8.40, 1.98, 1.56, 10.41, fanet,
2008-01-31,0.15, 0.50, 7.73, 2.09, 1.66, 11, fanet,
2008-02-01,0.75, 1.20, 2.14, 2.23, 1.71, 11.54, fanet,
2008-02-02,1.06, 0.16, 0.09, 2.2, 1.68, 11.68, fanet,
2008-02-03,0.13, 1.35, 4.94, 2.44, 1.85, 12.14, fanet,
2008-02-04,-0.63, 0.34, 8.54, 2.11, 1.64, 11.09, fanet,
2008-02-05,-0.44, 0.58, 3.99, 2.06, 1.6, 10.47, fanet,
2008-02-06,2.25, 1.50, 3.73, 2.12, 1.73, 10.8, fanet,
2008-02-07,-0.04, 0.35, -1.99, 2.09, 1.67, 10.88, fanet,
2008-02-08,1.86, 1.25, 3.92, 2.02, 1.53, 10.64, fanet,
2008-02-09,0.74, 0.56, 6.25, 2.03, 1.59, 10.39, fanet,
2008-02-10,-0.09, 0.69, 5.35, 2.23, 1.69, 11.5, fanet,
2008-02-11,0.75, 1.08, 1.25, 2.14, 1.67, 11.15, fanet,
2008-02-12,2.82, 0.60, 5.76, 2.14, 1.74, 10.96, fanet,
2008-02-13,0.59, 0.40, 3.09, 2.1, 1.59, 10.55, fanet,
2008-02-14,0.56, 1.86, -1.24, 2.15, 1.68, 11.12, fanet,
2008-02-15,0.24, 1.61, 3.15, 2.24, 1.75, 11.55, fanet,
2008-02-16,-0.29, -0.66, 2.04, 2.09, 1.6, 10.68, fanet,
2008-02-17,2.06, 0.68, -0.92, 1.95, 1.51, 10.05, fanet,
